stockSymbol, buyingPrice, buyingDate, sellingPrice, sellingDate, quantity, PnL, ReturnOnEquity, isTradeActive
PAGEIND,19352.35,2019-09-16 05:30:00.0,23706.35,2019-11-13 05:30:00.0,0.5167331,2249.8555,22.498554,false
PETRONET,124.55,2013-11-19 05:30:00.0,151.1,2014-05-26 05:30:00.0,80.28904,2131.6748,21.316748,false
PETRONET,185.15,2015-04-09 05:30:00.0,249.6,2016-01-04 05:30:00.0,54.010265,3480.963,34.809628,false
PETRONET,237.15,2017-09-19 05:30:00.0,176.95,2020-03-24 05:30:00.0,42.167404,-2538.478,-25.384779,false
PIDILITIND,555.5,2016-01-01 05:30:00.0,707.2,2016-08-10 05:30:00.0,18.0018,2730.874,27.30874,false
PIDILITIND,640.3,2017-01-13 05:30:00.0,814.1,2017-09-22 05:30:00.0,15.61768,2714.3525,27.143524,false
PEL,565.05,2013-12-20 05:30:00.0,686.85,2014-06-25 05:30:00.0,17.69755,2155.5615,21.555616,false
PEL,2663.9,2018-04-06 05:30:00.0,1893.95,2018-10-19 05:30:00.0,3.7538948,-2890.311,-28.903109,false
PEL,2277.95,2018-12-19 05:30:00.0,1741.9,2019-06-19 05:30:00.0,4.389912,-2353.212,-23.532118,false
PEL,1950.0,2019-08-27 05:30:00.0,1482.55,2019-10-07 05:30:00.0,5.1282053,-2397.1792,-23.971792,false
PEL,1758.05,2019-11-01 05:30:00.0,1338.4,2020-02-03 05:30:00.0,5.6881204,-2387.0195,-23.870195,false
PEL,1600.1,2020-02-20 05:30:00.0,1212.7,2020-03-09 05:30:00.0,6.2496095,-2421.099,-24.21099,false
PFC,128.9,2013-10-29 05:30:00.0,158.1,2013-12-11 05:30:00.0,77.57952,2265.3232,22.653233,false
PFC,271.2,2015-06-22 05:30:00.0,195.1,2015-08-24 05:30:00.0,36.873154,-2806.0474,-28.060474,false
PFC,244.1,2015-09-21 05:30:00.0,188.4,2016-01-07 05:30:00.0,40.966816,-2281.852,-22.81852,false
PFC,173.75,2016-03-21 05:30:00.0,115.75,2016-08-26 05:30:00.0,57.553955,-3338.13,-33.3813,false
PFC,125.2,2017-01-03 05:30:00.0,157.05,2017-04-17 05:30:00.0,79.87221,2543.9307,25.439306,false
PFC,126.85,2017-09-11 05:30:00.0,95.3,2018-03-07 05:30:00.0,78.83327,-2487.1895,-24.871893,false
